full_text,sentiment
kemaren nonton exhuma setuju review moots2ku kl filmnya gak serem feeling gak nyaman terussss nonton tuh berasa capeknya gatau brp menghela napas 2 jam nonton,negative
semalem nonton exhuma nonton baiknya baca2 review jelasin jg sejarah jeoang korea pasak rubah harimau dkk ga serem hantu2 gmn tegang mah lee hyun 7 10,positive
review singkat exhuma 2024 7 5 10 rekomen temen temen nyari film horror slowburn minim jumpscare,positive
review film horor exhuma tau medsos gw kebayang2 predesesornya wailing gw males nontonya khawatir plot muntir2 capek wkwkw nonton film beda tipe film horor kesukaan gw,negative
tergantung filmnya exhuma liat review 4d seru tempatku ga pake kacamata layarnya 2d takutnya over react lumayan 90rebu hehehe,positive
fans exhuma alay review kecewa ngatain fomo ngga ngerti so we re not allowed have personal opinion now,negative
kadang suka lucu liat org review film susah ditemuin cacat ga cmn exhuma nonton enjoy film kesalahan lgsg catet inget2 rispek standar dlm nentuin bagus ngga film wk wk wk,neutral
plis review film exhuma lupa jujur ga nonton film,neutral
nyokap mager nonton bioskop liat exhuma bener2 fokus sampe fokus dengerin review sejarahnya baca wkwk keren,positive
review nonton exhuma kalinya uda ga takut kaya kaki gemeter dikit teori kebuka jd ga bingung lg,positive
hmm review exhuma barusan rame kurang update,negative
review choi san film exhuma penakut sampe gamau nonton saranin nonton beneran gak takut kerasa takutnya gak nutup mata nonton intinya serem gaes,negative
review exhuma menurutku rating menurutku 9 10 d 1 main suara bgm 2 alurnya lumayan ruwet dimasak yaaa bagus 3 jumpscare lumayan ngagetin 4 plot hole akunya ga fokus ac cgv merinding alias dingin,positive
review film exhuma seru jujur suka korea trus suka horror jg 9 10 sihh trus better sblm nnton kepoin tuh sinopsisnya penjelasan latarnya biar nangkep isi filmnya jg enak,positive
mirrr laporan review exhuma 4d kerennnnnnnn,positive
tengok review exhuma de jumpscare lahhh nyahhh tengok je,negative
55555 review exhuma terkocak akal,positive
maunya ketebak lahiran kubur gentayangan ending tunggu review exhuma,neutral
bintang 5 ternganga film my review exhuma on letterboxd,positive
exhuma 2024 luka sembuh bekasnya review,neutral
tunggu nonton exhuma review,neutral
bagus banged visual nyaa layak versi imax cerita ga ribet pa kades suka bingung film tokoh ngga great movie review exhuma on letterboxd,positive
review abal abal check exhuma 11 10 horrornya sukaa hantu takut gorenya kerenn darahnya baguss lagu suasananya merinding ngerii disaranin baca teori exhuma nonton biar paham komedi tipis serius wkwk,positive
kritik exhuma dianggep bodoh males mikir selera exhuma ngaku genre horror gak berhasil mengeksekusi misgenre mystery historical review lulusan sastra,negative
exhuma 2024 honest review 7 10 hairan cerita hantu korea mmg xda suspend trill plot twist hujung2 hantunya xda kaitan keluarga kena rasuk kind ermm pergilah tengok nak,positive
my personal review exhuma nonton film ngerasa vibes bagus banget ya kaya ktj pocong gundul kearifan south korea serem ala exorcist final boss dilihatin wujud siluman raksasanya berasa ktj pocong gundul final boss fight ala darksoul,positive
badarawuhi didalam lawan siksa kubur diluar lawan exhuma gokil,neutral
review film exhuma,neutral
i m planning watch exhuma alone tomorrow temen ga seserem liat tweet review org2 knp kyk serem serem engga,negative
untungnya nda liat review exhuma diajak nonton dadakan seru menikmati filmnya ilysm lee dohyun maaf lim jiyeon,positive
exhuma review by me menurutku film overrated gak seram siluman enak dipandang real berani ngeliat tutup mata silumannya plot ceritanya maksa menurutku,negative
penasaran bgtt nonton 4dx kmaren liat review tiktok nntn exhuma 4dx even bau mayat bau darah anjir,negative
review exhuma minusnya dlu ngl cringe dikit fafifu nasionalismenya but i ve seen worse in some korean webnovels,negative
jujurr review exhuma benar2 terbantu paham ceritanya terima kasih reviewer heheh,positive
review exhuma 9 10 dohyun cakep bgttttt,positive
review exhuma seru mw nonton,positive
review exhuma ku selidiki teorinya wkwk,neutral
nonton film exhuma seru berasa belajar sejarah peperangan blogger review korea movies,positive
review exhuma jujur sampe gw ekspektasi filmnya nonton bener2 dibikin ngerasa doang bagusan wailing pls,negative
nntn youtuber2 review exhuma stelah tdak kena spoiler jd mo nnton ihhh liat detail2ny,neutral
nak tengok exhuma review seram cakap seram curious penat penakut penuh curiosity ni,negative
halo kepengen nonton exhuma krn belom nontonn huhu lg buka sosmed ngehindarin tweet vt film spoiler belom tonton trs film review sutradara2 sineas indo jd film korea aku‐,neutral
san review exhuma mati,negative
review exhuma bagus 8 10 2 dukun cenayang sepintas kepikiran remake indo sara wijayanto damian,positive
nonton exhuma liat review samain wailing samanya dukun plot twist ending,neutral
kak liat review exhuma san wkwk,neutral
nonton exhuma krn reviewnya bagus turns out baca review,positive
review choi san film exhuma seru ga serem aslinya serem tidur susah tidur lelap beneran serem tertidur pulas intinya seram engga,positive
alih alih meninggal pemakaman sejatinya exhuma by jang jae hyun review,neutral
exhuma review gatau gw kebanyakan dpt spoiler gmn i waa expecting more than this personal rate gw 8 7 jujur keren akting go eun damn lee dohyun i can t take my eyes off you,positive
ak suka akting lee dohyun kim go eun drama nonton layar lebar exhuma booming jujur penasaran nonton samsek kesampean liat review temen² x kepengen nonton pls smg menang exhuma,positive
watching 4dx s exhuma it s truly worth movie sense nontonnya sampe tuh kebayang segimana merindingnya jumpscare but instead iconic horror scenes seru gak ditonton 1x nagih quick review w o spoiler,positive
review nonton exhuma dongggg bujjer yaa plssss,neutral
pengen nonton exhuma liat review bagus belom kesampean beneran bokek,positive
nanya org penakut bener2 penakut penyakit jantung ga ntn mvs exhuma baca review org2 seru takut bnyk jumpscare tia,negative
pengen nonton liat review temenku nonton bagus recommended liat app ratingnya penasaran huhu semoga beneran liat exhuma,positive
review film exhuma horor okultisme amp sejarah traumatis korea jepang,neutral
pengen nonton exhuma penasaranbgt review bagus list film wajib ditonton liat acting lee dohyun mbah dukunn,positive
pengen baca2 review exhuma ga sempet nonton,neutral
nonton exhuma 4dx pakuwon jogja worth gak yaa baca review tiktok seoke 4dx ’,neutral
ih baca review review serem sampe merinding kukubur nonton exhuma wkwkwk,neutral
tlong review exhuma soalny mw nntn tkut serem,negative
bangett penasaran experience 4dx cgv tau exhuma 4dx fixxx pengen bangett ngerasain 4dx film exhuma liat review nonton 4dx pengen wml,neutral
brusan lewt review exhuma 4dx jdi pengen nyobain nntn exhuma 4dx,neutral
dibahas intinya kek kuburannya berlapis konfliknya penjajahan jepang org kaya korea pengkhianat bangsa turunannya ga korea fengshui buddhism dunia pershamanan wajar review bagus mana2 exhuma,positive
nonton lg nonton telat teater alesan nonton exhuma jg dohyun kunciran astaga cakep alurnya jg suka nagih ditonton 1x versi 4d baca review jg experiencenya seru,positive
review exhuma 4dx besookkk,neutral
tbh ditunggu review exhuma ny,neutral
nonton exhuma jujurrr penasaran ceritanya pengen liat duet dohyun x goeun dukun baca review orang² seruuu wish me luckkk tix reg domku gaada 4dx,positive
nonton review spoiler analisis film apapun exhuma,neutral
nonton exhuma 2x pengen nonton pengen coba 4dx liat review ” seru kayaknya pengen nonton kalinya paham sejarah konflik background film liat seruuu,positive
nonton exhuma belommmm review,neutral
aseli filmnya worthy tonton 1 segi alur cerita nambah wawasan pemain deserve recognition amp hype and not mention pd and all team that involved in making exhuma deserve all good reviews and rating,positive
liat review nonton exhuma 4d kecium bakar bakar peti mati mati kos,negative
review film exhuma kisah horor dukun korea laris bioskop indonesia,positive
suruh review exhuma 1 ganteng,neutral
liat review revenant gabisa bandingin parnoan nonton exhuma maju mundur nonton,neutral
gegara ngmgin exhuma ank2 kntor ak jd baca review medium trs bandingin dukun thai dukun indo ktnya kl dukun thai bnyk spesialisasi klo dukun indo cm 1 amp smua jobdesc sianjay bersaing scr global persaingankualitastenagakerja,neutral
revenant exhuma serem kira2 butuh review jujur pls krn pengen nonton rumah,neutral
exhuma review bagus,positive
nonton jg tdinya gamau ntn takut baca review ” org pd blg bagus jd penasaran ga seserem menegangkan mencekam lee dohyun amp kim goeun actingnya keren pol smpe ngira goeun dukun beneran rate 8 5 10 exhuma leedohyun kimgoeun,positive
review exhuma sepenuhnya review cuman cerita ajh,neutral
review tiktoker malaysia pasal movie exhuma review best setakat ni mantappp macehhh review filem ggone,positive
exhuma seru ga siii nonton honest review,positive
tarik ulur nonton exhuma baca review psikologi persis kayak film horror parnoan kepikiran terbawa dunia nyata mengurungkan niat ga ga nonton,negative
review jujur exhuma “ lee hyun ganteng bole seganteng maz ” oke,positive
review film exhuma thread kalinya menunggu adik ku nobar bareng film tonton adlh exhuma lg ramai ditonton mecapai 1 2 m penonton why,neutral
seru exhuma huaaaa mmg qt percaya sj dibanding review kaum sok edgy n pick me,positive
liat review exhuma bagus mo nonton gass,positive
uda nonton exhuma pls review,neutral
awoakowkwowk alasan nonton exhuma lee dohyun review film horror diajak mikir penasaran ku tonton beneran mikir seru bat sumpah ngehubungin benang merahnya,positive
4dx aaaaaaaaa nonton ga kepikiran cek 4dx bioskop full beli tiketnya berasa war krs siangnya timeline review nonton exhuma 4dx,neutral
dohyun kadang san yaa jg oleng ganteng dohyun semoga cerita live review nnton exhuma wwkwk,neutral
exhuma promosi indonesia nonton aktor fans percaya klo film drama bagus upload2 tiktok review boom org2 penasaran trus nonton,positive
pengen nonton exhuma deehh review muts,neutral
krn review exhuma bagus nonton,positive
nanyain temenku nonton exhuma blm tertarik dikit gara2 tdi baca trit review aslinya ak ga suka horror,negative
contoh modernisasi film exhuma review speaker mic ritual nunjukin dukun kekinian era milenial gen z ngga tampilan visual doang,positive
byk review exhuma menonton,neutral
sebenernya bermodalkan baca review mentemen nonton exhuma pede pede nonton gak takut hilang,neutral
review exhuma mager,negative
bismillah 4dx terima kasih ga kakk been talking about exhuma in my priv film horor sesuka detailnya kerenn baca teori teori liat review 4dx pengen rewatch,positive
liat review exhuma ngecamp kesurupan hantu tentara,neutral
more interesting this thread coming from ava wonbin jd tercerahkan kmrn beraniin nnton exhuma krn bnyk blg plot storynya bagus tnpa liat review trailer dlu turns out indeed we watched exhuma for plot and history itself like jjang mantap,positive
dh review exhuma nnti tgk ye,neutral
review singkat exhuma cerita gak paham dikit skill acting casts juaraaaa,positive
review nonton exhuma lee dohyun,neutral
review spertinya aman nonton exhuma wish me luck hahahah,positive
nulis review exhuma medium ngerasa tulisan ku takut share wkwk,neutral
review ttng exhuma,neutral
review wailing karna bandingin exhuma serem imo storyline tetep bagusan exhuma sampe konsisten bagus wailing endingnya bengong kesel dikit karna ga clear,positive
kmrn nonton exhuma review hehe bagus gais 100 100 akting aktor aktrisnya beuhh parahh gausah diragukann cuci mata liat kim dohyun cakep trs horrornya dapet sampe bener2 deg2an trs,positive
iih review 4dx exhuma nonton ulang,neutral
review exhuma,neutral
gila diserang exhuma loyalist cm gr2 bilang “ gak serem ” gak serem baca review horror slow burn nyakitin pikiran gak nyakitin pikiran,negative
liat review kayaknya seru nonton exhuma 4d pengen nonton versi 4d ihhh,positive
nonton exhuma skip review cuplikan gt tiktok bahas filmnya nonton butuh woii krn ga dicerna lgsg nonton kek ngang ngong dikit tetep speechless krn sebagus ituu,positive
review exhuma nonton 5x 3 jaringan bioskop berbeda nonton dolby atmos ngerasain experience nonton 4dx spoiler alert prolog kimgoeun gada obat buset nonton berkalikali gabosen liatnya wajahnya layar nyebut “ cantik ”,positive
review exhuma opini pribadi yes ggone cantik sebenernya my kinda type horror karna genrenya more like mystic history tertarik tema sejarah perdukunan okelah,positive
menolah review spoileran exhuma mo nonton sendiriiiiiiiiiiiiiii,neutral
sp uda nonton exhuma 4dx pls review besok pgn nonton,neutral
review exhuma 8 10 not bad kyk kureng salfok hwarim cantik bgtt,positive
wkwkwkwk jujur kaget dikit liat review 7 10 exhuma,negative
ngga suka horror spoiler review exhuma keknya menarik,positive
males ngetiknya review exhuma,negative
lihat review exhuma hahaha,neutral
serubgttt review exhuma plss,positive
penasaran liat orang2 review exhuma gak suka genre horror aman gak,neutral
gw review lengkap exhuma bagus ,positive
i saw exhuma haritu cerita takdakla wow sangat…macam dok review story was good but not thaaaat good i saw other korean movies better than her…,positive
review nonton exhuma,neutral
yeorobun nonton exhuma ngga review horornya,neutral
nonton review youtube komen filmnya jelek akunnya bodong curiga buzzer2 film horror indo gak nonton exhuma wkwk,negative
keiii exhuma worth watch yaa penasaran rencananya mingdep nonton review hehe,positive
gw nonton exhuma cgv oke oke review dohyun ngerukiyah kerennya intens sound and bgm bagus gak overuse klasik jumpscere horor lbh mistik jd referensi folklorenya byk keliatan lbh seger,positive
review film exhuma kungfu panda review exhuma oke rewatch khusyuk ngeklik plotnya bagus,positive
okay exhuma review penakut exhuma menyeramkan opsi tuh ngeri setan loohh kaya nonton incantation medium tuh,negative
nonton exhuma besok nonton filmnya review lengkapnya,neutral
mvs exhuma review baguss tipikal horor atmosferik mencekam minim jumpscare plot layeringnya beneran konsisten ngebuat penonton cemas sampe film lubang plot bingung akting sinematografi amp scoring juara cont,positive
review exhuma bagus suka ga serem samsek amp ga jumspcare naksir actingnya go eun amp dohyun huhuw krn liat drama tetep penasaran exhuma versi 4dx kayanya kebih pecahnhh,positive
review exhuma brb,neutral
review nonton exhuma alur filmnya kompleks fokus nyimak ceritanya kelewat dikit buyar ga mudeng alurnya,positive
liat review tiktod pengen nonton exhuma weh,neutral
review exhuma sedih gw nangis,negative
duh jujur bioskop nonton exhuma review 7 10 alias ngga vibes seserem like pls dont over react sumpah awa sampe film mutilasi gengs film dukun horor,negative
review exhuma tl dadakan mutusin nonton,neutral
nulis review exhuma jatuhnya cerita pengalaman nonton wkwk,neutral
tunggu nonton exhuma nnti ku review y bagus wkwkk,positive
exhuma review bagus buktikan dont dissapoint me,neutral
gw review exhuma nonton,neutral
pengen nonton exhuma dehh review nontonn,neutral
seret nonton exhuma skrang ngidam nonton horror anjirrr awal²nya krn dohyun ganteng liat review pen nonton krn kaitannya sejarah jepang korea lg ambil matkul studi asia timur arghhh mo nontonnnn‍,positive 
lupa review exhuma overall 9 10 wargh ceritanya beneran ketegangannya turun bab dibuka tenang klimaksnya dibangun pelan pelan sampe boom akting pemainnya beneran chef kiss,positive 
ndes review exhuma cocok nonton ga,neutral
nonton exhuma ga butuh review,neutral
butuh review exhuma serem engga karna gw orangnya takutan penasaran exhuma,neutral
review exhuma ak baca ngakak bilang kayak 2 plot terpisah ga ngegabungin plot jenderal keluarga park like you even watch movie,positive 
ngeliat rebiew review exhuma medsos,neutral
sp mw ak review exhuma,neutral
oyi rek mending exhuma opo pemandi jenazah honest review pls,neutral
review exhuma 2024 film dikemas rangkaian misteri gaya penceritaan merunut bagiannya rapi berhasil film horor favorit tipikal film horor seremnya dibangun perlahan,positive 
liat review exhuma tiktok merinding pengen nonton,neutral
film exhuma mulu jir review gw pengen nonton,neutral
ekspetasi grgr review org exhuma smpe nonton 4dx taunya gtu seru gak 1000 10 jg,positive 
review film horor epic gw tonton viral karna exhuma,positive 
review exhuma lee dohyun ganteng ajg pls jd pacarku‍,neutral
review exhuma sbg penakut nonton “ horror ” bioskop mnrtku film worth watch karna trnyata ga horror indo gtu tpi thriller imo setannya ga kaget film sedih ketawa serem jugaa,positive 
review exhuma salfok dohyun ganteng pol + go eun cantik pol,positive 
exhuma menurutku rating 3 5 review,negative 
review exhuma nunggu males,negative 
review jjur exhuma hmz trauma 10 skali ga nonton pls bagus bkin trauma editan rubahnya mnurut nyata kyk ftv sisanya bagus,positive 
nonton horror review exhuma bagus,positive 
review exhuma in 4dx overall sangatt seruu ngerasain dukun ritual tanah dicangkul cangkul ditonjok siluman ngerasain tegangnya tokoh ketemu hantu silumannya realll worth it bgtt,positive 
review filem exhuma filem seram box office korea 2024 hangpa wajib tonton exhuma leedohyun kimgoeun korea horror sembangentertainment sembangmovie hanshanis rollodepelicula,positive 
review exhuma kayana penikmat thriller horror penakut 9 10,positive 
aaaaaaaaaa baca review org nonton exhuma 4dx seruu pgn nonton lagii,positive 
review exhuma dung syg,neutral
sptnya mmg gas panas liat seliweran review exhuma ’,positive 
exhuma bener2 cakep iyalah nonton dohyun oppa ngomong nihongo skip ga review film aman ga suka nonton horor kek ga serem kaget dikit alurnya kupahami aktingnya oke,positive 
geomancer pasangan pengusir hantu memindahkan jenazah makam bernama bukit menggali terkuaklah misteri berbahaya amp ancaman mengerikan exhuma my video review,negative 
adakah nnton exhuma review dongss cantikk,neutral
nonton exhuma belom rate review film apa… nonton maju mundur,neutral
review exhuma shock bersalah seneng denger dohyun goeun ngomong nippon ngerti awkwkwkwkwkwkwkwk,positive 
rate film exhuma wkwkw anaknya suka nonton drakor film korea kadang ongoing bareng bareng amp amp review samasamaa,positive 
disuruh review exhuma “ seru sampe kerudung mencong ”,positive 
exhuma kureng euy serba nanggung honest review ig enaknya,negative 
nonton exhuma review,neutral
review exhuma tatonya cakep,positive 
exhuma bagus review penasaran hilihhh,positive 
bandung nontonnya bareng please cupu muy nonton hantu suka exhuma review 4dx seru temaniaku,positive 
mvs butuh review jujur film “ exhuma ” sender pengen nonton,neutral
guyssss adq nonton exhuma maju mundur takut nntn horror sksksk,negative 
haloo jean drama nonton gyeongseong creature udaah nonton nonton exhuma review seruu,positive 
oomf bilang exhuma serem sampe kebayang2,negative
penakut nonton exhuma review berani kencing nonton takut kencing ditemenin,negative
review exhuma tidak jelek,positive
